date,open,high,low,close,volume
2017-01-24T17:50:00.000Z,906.63,907.7,906.75,907.7,510
2017-01-24T17:55:00.000Z,907.7,907.72,906.75,906.75,12590
2017-01-24T18:00:00.000Z,906.75,907.66,906.67,906.67,25170
2017-01-24T18:05:00.000Z,906.67,906.67,906.31,906.31,41734
2017-01-24T18:10:00.000Z,906.31,906.49,906.49,906.49,100
2017-01-24T18:15:00.000Z,906.49,906.31,905.66,905.66,5711
2017-01-24T18:20:00.000Z,905.66,906.0,905.33,905.33,10237
2017-01-24T18:25:00.000Z,905.33,905.98,905.97,905.98,4000
2017-01-24T18:30:00.000Z,905.98,905.99,905.69,905.96,1701
2017-01-24T18:35:00.000Z,905.96,905.99,905.87,905.99,8818
2017-01-24T18:40:00.000Z,905.99,906.0,905.99,906.0,2349
2017-01-24T18:45:00.000Z,906.0,906.0,905.72,905.76,7623
2017-01-24T18:50:00.000Z,905.76,905.76,905.69,905.69,16591
2017-01-24T18:55:00.000Z,905.69,905.62,905.56,905.6,10085
2017-01-24T19:00:00.000Z,905.6,905.41,904.92,904.92,20030
2017-01-24T19:05:00.000Z,904.92,904.92,904.92,904.92,0
2017-01-24T19:10:00.000Z,904.92,905.99,905.1,905.66,12613
2017-01-24T19:15:00.000Z,905.66,905.2,904.95,904.95,21242
2017-01-24T19:20:00.000Z,904.95,905.99,904.73,905.99,40500
2017-01-24T19:25:00.000Z,905.99,905.0,904.69,905.0,13000
2017-01-24T19:30:00.000Z,905.0,905.0,904.04,904.16,26050
2017-01-24T19:35:00.000Z,904.16,905.13,903.53,905.13,27860
2017-01-24T19:40:00.000Z,905.13,905.16,902.3,902.79,68281
2017-01-24T19:45:00.000Z,902.79,904.6,903.02,903.02,7904
2017-01-24T19:50:00.000Z,903.02,903.71,902.42,903.67,49109
2017-01-24T19:55:00.000Z,903.67,904.01,902.66,902.66,53550
2017-01-24T20:00:00.000Z,902.66,902.66,900.42,900.62,109654
2017-01-24T20:05:00.000Z,900.62,901.77,901.0,901.0,23047
2017-01-24T20:10:00.000Z,901.0,900.82,898.38,898.38,46174
2017-01-24T20:15:00.000Z,898.38,899.96,897.89,899.68,39959
2017-01-24T20:20:00.000Z,899.68,899.68,896.73,897.41,96148
2017-01-24T20:25:00.000Z,897.41,896.69,894.78,895.75,119990
2017-01-24T20:30:00.000Z,895.75,898.0,895.23,897.19,145067
2017-01-24T20:35:00.000Z,897.19,897.96,896.82,897.89,20329
2017-01-24T20:40:00.000Z,897.89,898.04,896.55,896.55,34094
2017-01-24T20:45:00.000Z,896.55,898.22,897.6,897.6,35000
2017-01-24T20:50:00.000Z,897.6,896.8,895.43,895.43,122758
2017-01-24T20:55:00.000Z,895.43,897.0,895.59,896.13,7380
2017-01-24T21:00:00.000Z,896.13,897.99,897.56,897.61,48640
2017-01-24T21:05:00.000Z,897.61,898.57,897.13,898.57,50107
2017-01-24T21:10:00.000Z,898.57,898.95,898.66,898.66,3420
2017-01-24T21:15:00.000Z,898.66,899.79,898.8,899.55,72801
2017-01-24T21:20:00.000Z,899.55,900.0,899.44,900.0,61484
2017-01-24T21:25:00.000Z,900.0,899.95,899.07,899.36,3870
2017-01-24T21:30:00.000Z,899.36,898.51,897.09,897.59,38760
2017-01-24T21:35:00.000Z,897.59,898.6,896.43,896.43,30130
2017-01-24T21:40:00.000Z,896.43,896.47,894.81,896.47,52240
2017-01-24T21:45:00.000Z,896.47,896.73,895.14,895.14,20022
2017-01-24T21:50:00.000Z,895.14,895.14,895.14,895.14,0
2017-01-24T21:55:00.000Z,895.14,895.14,895.14,895.14,0
2017-01-24T22:00:00.000Z,895.14,895.43,891.84,891.84,144918
2017-01-24T22:05:00.000Z,891.84,897.49,891.12,896.61,58561
2017-01-24T22:10:00.000Z,896.61,898.34,896.41,896.41,85420
2017-01-24T22:15:00.000Z,896.41,896.38,895.78,895.78,20005
2017-01-24T22:20:00.000Z,895.78,896.34,895.78,895.78,1005
2017-01-24T22:25:00.000Z,895.78,895.79,894.74,894.74,20603
2017-01-24T22:30:00.000Z,894.74,894.93,890.27,892.39,103585
2017-01-24T22:35:00.000Z,892.39,892.46,891.03,891.04,10176
2017-01-24T22:40:00.000Z,891.04,892.81,891.47,892.03,2838
2017-01-24T22:45:00.000Z,892.03,892.3,888.2,888.2,189220
2017-01-24T22:50:00.000Z,888.2,888.55,881.66,883.27,364492
2017-01-24T22:55:00.000Z,883.27,885.11,880.0,881.68,179410
2017-01-24T23:00:00.000Z,881.68,885.73,881.54,882.57,50099
2017-01-24T23:05:00.000Z,882.57,885.85,883.0,885.19,38961
